DEBUG 2025-11-25 15:45:20,405 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\kombu\utils\url.py first seen with mtime 1764064059.8916905
DEBUG 2025-11-25 15:45:20,405 autoreload File C:\Users\Medserv Africa\schoolsaas\superadmin\urls.py first seen with mtime 1764058919.4240701
DEBUG 2025-11-25 15:45:20,406 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1764063953.3075037
DEBUG 2025-11-25 15:45:20,406 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\openpyxl\worksheet\_reader.py first seen with mtime 1764063938.1414306
DEBUG 2025-11-25 15:45:20,407 autoreload File C:\Users\Medserv Africa\schoolsaas\transport\urls.py first seen with mtime 1764058919.6248753
DEBUG 2025-11-25 15:45:20,407 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\qrcode\image\base.py first seen with mtime 1764063929.959791
DEBUG 2025-11-25 15:45:20,408 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_widths_courier.py first seen with mtime 1764063925.6905882
DEBUG 2025-11-25 15:45:20,408 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\PIL\_util.py first seen with mtime 1764063904.183192
DEBUG 2025-11-25 15:45:20,409 autoreload File C:\Users\Medserv Africa\schoolsaas\certificates\__init__.py first seen with mtime 1764058918.976688
DEBUG 2025-11-25 15:45:20,409 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django_countries\widgets.py first seen with mtime 1764063945.190794
DEBUG 2025-11-25 15:45:20,409 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\et_xmlfile\__init__.py first seen with mtime 1764063921.1848898
DEBUG 2025-11-25 15:45:20,410 autoreload File C:\Users\Medserv Africa\schoolsaas\reports\urls.py first seen with mtime 1764058919.2997835
DEBUG 2025-11-25 15:45:20,410 autoreload File C:\Python313\Lib\asyncio\streams.py first seen with mtime 1744116328.0
DEBUG 2025-11-25 15:45:20,411 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\django_countries\base.py first seen with mtime 1764063944.6054275
DEBUG 2025-11-25 15:45:20,411 autoreload File C:\Users\Medserv Africa\schoolsaas\venv\Lib\site-packages\reportlab\lib\boxstuff.py first seen with mtime 1764063925.6254823
